epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,708.522,0.86567,0.65152,1.26177,0.87644,0.88912,0.91068,0.67988,1.04222,0.58391,1.53341,0.000495125,0.000495125,0.000495125
63,720.07,0.85817,0.65554,1.25569,0.89131,0.8802,0.91307,0.66641,1.12264,0.62492,1.60291,0.00048275,0.00048275,0.00048275
64,731.553,0.83409,0.65095,1.25271,0.92726,0.85872,0.92446,0.68501,1.09116,0.56976,1.55441,0.000470375,0.000470375,0.000470375
65,743.009,0.82016,0.6282,1.24275,0.89406,0.86052,0.91122,0.6724,1.13366,0.61616,1.61638,0.000458,0.000458,0.000458
66,754.546,0.84185,0.63283,1.24468,0.89175,0.91695,0.91109,0.67707,0.94008,0.552,1.49713,0.000445625,0.000445625,0.000445625
67,766.086,0.83597,0.62356,1.2432,0.88506,0.87091,0.91392,0.65576,1.08938,0.59063,1.60389,0.00043325,0.00043325,0.00043325
68,777.593,0.82281,0.61789,1.24089,0.86315,0.88843,0.89306,0.66403,1.00609,0.65798,1.51846,0.000420875,0.000420875,0.000420875
69,789.085,0.82017,0.61246,1.24296,0.88097,0.88836,0.92442,0.69067,1.07541,0.57828,1.53162,0.0004085,0.0004085,0.0004085
70,800.555,0.81482,0.60496,1.22729,0.84404,0.91661,0.92378,0.67479,1.03155,0.58667,1.51765,0.000396125,0.000396125,0.000396125
71,812.062,0.8086,0.60396,1.22376,0.83475,0.92352,0.91578,0.68342,1.04036,0.59644,1.50733,0.00038375,0.00038375,0.00038375
72,823.626,0.80572,0.59281,1.21889,0.86474,0.90525,0.91716,0.67264,1.0644,0.56723,1.53878,0.000371375,0.000371375,0.000371375
73,835.066,0.80265,0.59607,1.23262,0.87095,0.88624,0.91955,0.68874,0.98187,0.57595,1.51752,0.000359,0.000359,0.000359
74,846.6,0.79498,0.58478,1.22202,0.88003,0.88441,0.92291,0.68411,1.02156,0.57988,1.53731,0.000346625,0.000346625,0.000346625
75,858.233,0.77657,0.58497,1.20847,0.88296,0.89693,0.92041,0.68134,0.97541,0.56115,1.46106,0.00033425,0.00033425,0.00033425
76,869.98,0.78433,0.59676,1.21361,0.87709,0.89408,0.92145,0.66726,1.0859,0.61354,1.55735,0.000321875,0.000321875,0.000321875
77,881.536,0.77356,0.57542,1.20445,0.84713,0.90129,0.8894,0.66266,1.00121,0.5732,1.49881,0.0003095,0.0003095,0.0003095
